,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,sodium,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,glycine,carbohydrate,fiber,sugars,glucose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,water
58,"Fish, smoked, haddock",100 g,116,1g,0.2g,77mg,25.23 g,763.00 mg,80.00 IU,24.00 mcg,1.60 mcg,0.400 mg,0.0 mg,34.00 IU,0.55 mg,0.1 mcg,49.00 mg,0.042 mg,1.40 mg,54.00 mg,0.030 mg,251.00 mg,415.00 mg,42.9 mcg,0.50 mg,1.211 g,0.00 g,0.0 g,0.00 g,0,0,0.96 g,0.173 g,0.157 g,0.321 g,77.00 mg,0.0 g,1.62 g,0.00 mg,71.48 g
59,"DENNY'S, french fries",100 g,282,14g,2.5g,0,3.41 g,44.00 mg,0,0,0,0.220 mg,1.6 mg,0,0.98 mg,28.8 mcg,14.00 mg,0.111 mg,0.72 mg,27.00 mg,0.179 mg,115.00 mg,492.00 mg,0.4 mcg,0.46 mg,0.101 g,35.20 g,3.5 g,0.85 g,0.41 g,0.18 g,14.13 g,2.534 g,3.408 g,6.548 g,0.00 mg,0,1.20 g,0,46.05 g
60,"Ground turkey, cooked",100 g,203,10g,2.7g,93mg,27.37 g,78.00 mg,79.00 IU,24.00 mcg,1.34 mcg,0.633 mg,0.0 mg,8.00 IU,0.11 mg,0.0 mcg,28.00 mg,0.151 mg,1.52 mg,30.00 mg,0.011 mg,254.00 mg,294.00 mg,31.1 mcg,3.11 mg,1.500 g,0.00 g,0.0 g,0.00 g,0,0,10.40 g,2.669 g,3.458 g,2.917 g,93.00 mg,0.0 g,1.26 g,0.00 mg,62.07 g
61,"MURRAY, Vanilla Wafer",100 g,461,17g,5.7g,1mg,4.00 g,401.00 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,42.00 mg,84.00 mg,0,0,0,72.90 g,1.4 g,31.50 g,0,0,17.40 g,5.700 g,3.900 g,6.600 g,1.00 mg,0,0,0,4.10 g
62,"WENDY'S, french fries",100 g,301,14g,2.8g,0,3.73 g,219.00 mg,0,0,0,0.387 mg,3.8 mg,0,2.00 mg,6.4 mcg,16.00 mg,0.159 mg,0.93 mg,33.00 mg,0.271 mg,126.00 mg,625.00 mg,0.8 mcg,0.54 mg,0,39.73 g,4.0 g,0.40 g,0.40 g,0.00 g,14.10 g,2.790 g,3.195 g,7.456 g,0,0,1.83 g,0,40.62 g
63,"Bread, toasted, wheat",100 g,313,4.3g,1g,0,12.96 g,601.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.153 mg,0.2 mg,0.00 IU,0.24 mg,5.7 mcg,165.00 mg,0.198 mg,4.09 mg,59.00 mg,1.377 mg,188.00 mg,223.00 mg,33.4 mcg,1.47 mg,0.262 g,55.77 g,4.7 g,6.42 g,0,0,4.27 g,0.989 g,1.019 g,1.720 g,0.00 mg,0.0 g,2.77 g,0.00 mg,24.23 g
64,"Danish pastry, cheese",100 g,374,22g,6.8g,23mg,8.00 g,417.00 mg,128.00 IU,35.00 mcg,0.20 mcg,0.040 mg,0.1 mg,2.00 IU,0.35 mg,6.9 mcg,35.00 mg,0.089 mg,1.80 mg,15.00 mg,0.351 mg,108.00 mg,98.00 mg,18.9 mcg,0.70 mg,0.239 g,37.20 g,1.0 g,6.95 g,0,0,21.90 g,6.794 g,11.313 g,2.575 g,23.00 mg,0.0 g,1.50 g,0.00 mg,31.40 g
65,"Nuts, glazed, walnuts",100 g,500,36g,3.6g,0,8.28 g,446.00 mg,0.00 IU,0,0,0,0.0 mg,0,0,0,71.00 mg,0,1.29 mg,0,0,0,232.00 mg,0,0,0,47.59 g,3.6 g,32.14 g,0,0,35.71 g,3.571 g,5.357 g,25.000 g,0.00 mg,0,2.13 g,0,6.28 g
66,"Spices, garlic powder",100 g,331,0.7g,0.2g,0,16.55 g,60.00 mg,0.00 IU,0.00 mcg,0.00 mcg,1.654 mg,1.2 mg,0.00 IU,0.67 mg,0.4 mcg,79.00 mg,0.533 mg,5.65 mg,77.00 mg,0.979 mg,414.00 mg,1193.00 mg,23.9 mcg,2.99 mg,0.525 g,72.73 g,9.0 g,2.43 g,0.07 g,2.05 g,0.73 g,0.249 g,0.115 g,0.178 g,0.00 mg,0.0 g,3.54 g,0.00 mg,6.45 g
67,"Oil, soybean lecithin",100 g,763,100g,15g,0,0.00 g,0.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,8.18 mg,183.9 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0,0.00 g,0.0 g,0.00 g,0,0,100.00 g,15.005 g,10.977 g,45.318 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 g
68,"Egg, fresh, raw, yolk",100 g,322,27g,9.6g,1085mg,15.86 g,48.00 mg,1442.00 IU,381.00 mcg,1.95 mcg,0.350 mg,0.0 mg,218.00 IU,2.58 mg,0.7 mcg,129.00 mg,0.077 mg,2.73 mg,5.00 mg,0.055 mg,390.00 mg,109.00 mg,56.0 mcg,2.30 mg,0.488 g,3.59 g,0.0 g,0.56 g,0.18 g,0.07 g,26.54 g,9.551 g,11.738 g,4.204 g,1085.00 mg,0.0 g,1.71 g,0.00 mg,52.31 g
69,"Fireweed, raw, leaves",100 g,103,2.8g,,0,4.71 g,34.00 mg,3598.00 IU,180.00 mcg,0.00 mcg,0.632 mg,2.2 mg,0.00 IU,0,0,429.00 mg,0.320 mg,2.40 mg,156.00 mg,6.704 mg,108.00 mg,494.00 mg,0.9 mcg,2.66 mg,0,19.22 g,10.6 g,0,0,0,2.75 g,0,0,0,0.00 mg,0.0 g,2.54 g,0,70.78 g
70,"Beef, pastrami, cured",100 g,147,5.8g,2.7g,68mg,21.80 g,1078.00 mg,42.00 IU,2.00 mcg,1.87 mcg,0.221 mg,0.3 mg,4.00 IU,0.12 mg,0.7 mcg,10.00 mg,0.091 mg,2.22 mg,17.00 mg,0.027 mg,175.00 mg,210.00 mg,17.7 mcg,4.98 mg,1.306 g,0.36 g,0.0 g,0.10 g,0.00 g,0.00 g,5.82 g,2.681 g,2.118 g,0.145 g,68.00 mg,0.0 g,3.40 g,0.00 mg,69.53 g
71,"Frankfurter, meatless",100 g,233,14g,1.7g,0,19.61 g,471.00 mg,0.00 IU,0.00 mcg,2.35 mcg,0.078 mg,0.0 mg,0.00 IU,1.92 mg,0.0 mcg,33.00 mg,0.706 mg,1.41 mg,18.00 mg,0,344.00 mg,98.00 mg,7.4 mcg,1.20 mg,0,7.70 g,3.9 g,0.00 g,0,0,13.73 g,1.653 g,2.540 g,5.415 g,0.00 mg,0.0 g,0.97 g,0.00 mg,58.00 g
72,"Emu, raw, flat fillet",100 g,102,0.7g,0.2g,71mg,22.25 g,150.00 mg,0.00 IU,0.00 mcg,6.12 mcg,0.582 mg,0.0 mg,0,0.22 mg,0,3.00 mg,0.205 mg,5.00 mg,31.00 mg,0.028 mg,229.00 mg,240.00 mg,31.5 mcg,3.00 mg,0.700 g,0.00 g,0.0 g,0.00 g,0,0,0.74 g,0.187 g,0.295 g,0.102 g,71.00 mg,0.0 g,0.93 g,0.00 mg,75.40 g
73,"Emu, raw, inside drum",100 g,108,1.5g,0.4g,67mg,22.22 g,102.00 mg,17.00 IU,5.00 mcg,2.26 mcg,0.626 mg,0.0 mg,0,0.22 mg,0,4.00 mg,0.205 mg,5.23 mg,26.00 mg,0.028 mg,229.00 mg,318.00 mg,31.4 mcg,4.33 mg,0.699 g,0.00 g,0.0 g,0.00 g,0,0,1.49 g,0.386 g,0.532 g,0.256 g,67.00 mg,0.0 g,1.15 g,0.00 mg,74.73 g
74,"Ice creams, chocolate",100 g,216,11g,6.8g,34mg,3.80 g,76.00 mg,416.00 IU,118.00 mcg,0.29 mcg,0.055 mg,0.7 mg,8.00 IU,0.30 mg,0.3 mcg,109.00 mg,0.135 mg,0.93 mg,29.00 mg,0.140 mg,107.00 mg,249.00 mg,2.5 mcg,0.58 mg,0,28.20 g,1.2 g,25.36 g,0,0,11.00 g,6.800 g,3.210 g,0.410 g,34.00 mg,0.0 g,1.00 g,3.00 mg,55.70 g
75,"Snacks, potato sticks",100 g,522,34g,8.9g,0,6.70 g,633.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.320 mg,47.3 mg,0.00 IU,9.11 mg,22.1 mcg,18.00 mg,0.315 mg,2.27 mg,64.00 mg,0.423 mg,172.00 mg,1237.00 mg,8.1 mcg,0.99 mg,0,53.30 g,3.4 g,0.22 g,0,0,34.40 g,8.880 g,6.160 g,17.900 g,0.00 mg,0.0 g,3.30 g,0.00 mg,2.20 g
76,"USDA Commodity, salsa",100 g,36,0.2g,,0,1.50 g,430.00 mg,550.00 IU,28.00 mcg,0.00 mcg,0.149 mg,4.0 mg,0,0,0,12.00 mg,0.096 mg,2.24 mg,16.00 mg,0,30.00 mg,270.00 mg,0.4 mcg,0.17 mg,0,7.00 g,1.4 g,0,0,0,0.20 g,0.029 g,0.016 g,0.107 g,0.00 mg,0.0 g,1.60 g,0,89.70 g
77,"Figs, uncooked, dried",100 g,249,0.9g,0.1g,0,3.30 g,10.00 mg,10.00 IU,0.00 mcg,0.00 mcg,0.106 mg,1.2 mg,0.00 IU,0.35 mg,15.6 mcg,162.00 mg,0.287 mg,2.03 mg,68.00 mg,0.510 mg,67.00 mg,680.00 mg,0.6 mcg,0.55 mg,0.108 g,63.87 g,9.8 g,47.92 g,24.79 g,0.07 g,0.93 g,0.144 g,0.159 g,0.345 g,0.00 mg,0.0 g,1.86 g,0.00 mg,30.05 g
78,"Game meat, raw, horse",100 g,133,4.6g,1.4g,52mg,21.39 g,53.00 mg,0.00 IU,0.00 mcg,3.00 mcg,0.380 mg,1.0 mg,0,0,0,6.00 mg,0.144 mg,3.82 mg,24.00 mg,0.019 mg,221.00 mg,360.00 mg,10.1 mcg,2.90 mg,1.033 g,0.00 g,0.0 g,0,0,0,4.60 g,1.440 g,1.610 g,0.650 g,52.00 mg,0,0.99 g,0,72.63 g
79,"Syrup, fruit flavored",100 g,261,0g,,0,0.00 g,0.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,0.00 mg,0.007 mg,0.03 mg,1.00 mg,0.002 mg,0.00 mg,1.00 mg,0.4 mcg,0.06 mg,0,65.10 g,0.0 g,65.00 g,0,0,0.02 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.06 g,0.00 mg,34.82 g
80,"Broccoli, raw, stalks",100 g,28,0.4g,0.1g,0,2.98 g,27.00 mg,400.00 IU,20.00 mcg,0.00 mcg,0.159 mg,93.2 mg,0.00 IU,0,0,48.00 mg,0.045 mg,0.88 mg,25.00 mg,0.229 mg,66.00 mg,325.00 mg,3.0 mcg,0.40 mg,0.095 g,5.24 g,0,0,0,0,0.35 g,0.054 g,0.024 g,0.167 g,0.00 mg,0,0.92 g,0,90.69 g
81,"Cream, cultured, sour",100 g,198,19g,10g,59mg,2.44 g,31.00 mg,447.00 IU,124.00 mcg,0.21 mcg,0.041 mg,0.9 mg,0.00 IU,0.38 mg,1.5 mcg,101.00 mg,0.018 mg,0.07 mg,10.00 mg,0.015 mg,76.00 mg,125.00 mg,3.7 mcg,0.33 mg,0.076 g,4.63 g,0.0 g,3.41 g,0.00 g,0.00 g,19.35 g,10.140 g,4.594 g,0.800 g,59.00 mg,0.0 g,0.51 g,0.00 mg,73.07 g
82,"Gravy, canned, au jus",100 g,16,0.2g,0.1g,0,1.20 g,478.00 mg,0.00 IU,0.00 mcg,0.10 mcg,0.010 mg,1.0 mg,0,0,0,4.00 mg,0.100 mg,0.60 mg,2.00 mg,0.200 mg,30.00 mg,81.00 mg,0.4 mcg,1.00 mg,0,2.50 g,0.0 g,0,0,0,0.20 g,0.100 g,0.080 g,0.010 g,0.00 mg,0,1.60 g,0,94.50 g
83,"McDONALD'S, Hamburger",100 g,264,10g,3.5g,27mg,12.92 g,494.00 mg,55.00 IU,0,0.83 mcg,0,0.6 mg,0,0,0,127.00 mg,0.096 mg,2.87 mg,21.00 mg,0.322 mg,107.00 mg,192.00 mg,26.2 mcg,1.95 mg,0,30.28 g,1.3 g,6.03 g,2.10 g,0.00 g,10.09 g,3.504 g,3.768 g,1.420 g,27.00 mg,0,2.18 g,0,44.53 g
84,"Cheese, port de salut",100 g,352,28g,17g,123mg,23.78 g,534.00 mg,1092.00 IU,315.00 mcg,1.50 mcg,0.053 mg,0.0 mg,21.00 IU,0.24 mg,2.4 mcg,650.00 mg,0.022 mg,0.43 mg,24.00 mg,0.011 mg,360.00 mg,136.00 mg,14.5 mcg,2.60 mg,0.485 g,0.57 g,0.0 g,0.57 g,0,0,28.20 g,16.691 g,9.338 g,0.729 g,123.00 mg,0.0 g,2.00 g,0.00 mg,45.45 g
85,SILK Original Creamer,100 g,100,6.7g,,0,0.00 g,67.00 mg,0.00 IU,0,0,0,0.0 mg,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,0,6.67 g,0.0 g,0.00 g,0,0,6.67 g,0.000 g,0,0,0.00 mg,0,0.38 g,0,86.29 g
86,SILK Hazelnut Creamer,100 g,133,6.7g,,0,0.00 g,67.00 mg,0.00 IU,0,0,0,200.0 mg,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,0,20.00 g,0.0 g,20.00 g,0,0,6.67 g,0.000 g,0,0,0.00 mg,0,0.38 g,0,72.95 g
87,"Soup, mix, dry, onion",100 g,293,0.3g,0.1g,0,7.48 g,8031.00 mg,15.00 IU,1.00 mcg,0.00 mcg,0.582 mg,3.4 mg,0.00 IU,0.13 mg,1.4 mcg,143.00 mg,0.353 mg,1.25 mg,60.00 mg,0.665 mg,211.00 mg,721.00 mg,5.0 mcg,1.12 mg,0,65.07 g,6.6 g,4.65 g,0,0,0.34 g,0.089 g,0.067 g,0.164 g,0.00 mg,0.0 g,23.31 g,0.00 mg,3.79 g
88,"Mushrooms, raw, enoki",100 g,37,0.3g,,0,2.66 g,3.00 mg,0,0,0.00 mcg,0.100 mg,0.0 mg,5.00 IU,0.01 mg,0.0 mcg,0.00 mg,0.107 mg,1.15 mg,16.00 mg,0.075 mg,105.00 mg,359.00 mg,2.2 mcg,0.65 mg,0.110 g,7.81 g,2.7 g,0.22 g,0.22 g,0.00 g,0.29 g,0.020 g,0.000 g,0.090 g,0.00 mg,0.0 g,0.91 g,0.00 mg,88.34 g
89,Bacon and beef sticks,100 g,517,44g,16g,102mg,29.10 g,1420.00 mg,0.00 IU,0.00 mcg,1.90 mcg,0.500 mg,0.0 mg,0,0,1.6 mcg,14.00 mg,0.080 mg,1.86 mg,17.00 mg,0.038 mg,142.00 mg,385.00 mg,26.1 mcg,3.23 mg,1.641 g,0.80 g,0.0 g,0.80 g,0,0,44.20 g,16.000 g,21.900 g,4.300 g,102.00 mg,0.0 g,4.30 g,0.00 mg,21.60 g
90,"Salami, pork, Italian",100 g,425,37g,13g,80mg,21.70 g,1890.00 mg,0.00 IU,0.00 mcg,2.80 mcg,0.550 mg,0.0 mg,0,0,0,10.00 mg,0.160 mg,1.52 mg,22.00 mg,0.070 mg,229.00 mg,340.00 mg,25.4 mcg,4.20 mg,1.553 g,1.20 g,0.0 g,1.20 g,0,0,37.00 g,13.100 g,18.200 g,3.600 g,80.00 mg,0.0 g,5.50 g,0.00 mg,34.60 g
91,"Crackers, whole-wheat",100 g,427,14g,2.1g,0,10.58 g,704.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.185 mg,0.0 mg,0.00 IU,1.41 mg,27.2 mcg,36.00 mg,0.420 mg,3.34 mg,110.00 mg,2.152 mg,331.00 mg,345.00 mg,10.1 mcg,2.63 mg,0.427 g,69.55 g,10.3 g,1.19 g,0.32 g,0.86 g,14.13 g,2.063 g,3.248 g,6.945 g,0.00 mg,0.0 g,2.80 g,0.00 mg,2.94 g
92,"Peanuts, raw, spanish",100 g,570,50g,7.1g,0,26.15 g,22.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.348 mg,0.0 mg,0.00 IU,0,0.0 mcg,106.00 mg,0.900 mg,3.91 mg,188.00 mg,2.640 mg,388.00 mg,744.00 mg,7.2 mcg,2.12 mg,1.576 g,15.83 g,9.5 g,0,0,0,49.60 g,7.098 g,22.325 g,17.238 g,0.00 mg,0.0 g,2.03 g,0.00 mg,6.39 g
93,"Hominy, white, canned",100 g,72,0.9g,0.1g,0,1.48 g,345.00 mg,1.00 IU,0.00 mcg,0.00 mcg,0.005 mg,0.0 mg,0.00 IU,0.05 mg,0.2 mcg,10.00 mg,0.030 mg,0.62 mg,16.00 mg,0.070 mg,35.00 mg,9.00 mg,3.0 mcg,1.05 mg,0.052 g,14.26 g,2.5 g,1.82 g,0,0,0.88 g,0.123 g,0.231 g,0.399 g,0.00 mg,0.0 g,0.86 g,0.00 mg,82.53 g
94,"Game meat, raw, moose",100 g,102,0.7g,0.2g,59mg,22.24 g,65.00 mg,0.00 IU,0.00 mcg,0,0,4.0 mg,0,0,0,5.00 mg,0.067 mg,3.21 mg,23.00 mg,0.008 mg,158.00 mg,317.00 mg,9.6 mcg,2.80 mg,0.972 g,0.00 g,0.0 g,0,0,0,0.74 g,0.220 g,0.150 g,0.240 g,59.00 mg,0,1.13 g,0,75.55 g
95,"Pears, red anjou, raw",100 g,62,0.1g,,0,0.33 g,1.00 mg,24.00 IU,1.00 mcg,0,0.039 mg,5.2 mg,0,0.12 mg,4.9 mcg,11.00 mg,0.070 mg,0.19 mg,7.00 mg,0.056 mg,13.00 mg,123.00 mg,0.1 mcg,0.13 mg,0.011 g,14.94 g,3.0 g,9.54 g,2.74 g,0.26 g,0.14 g,0,0,0,0,0,0.35 g,0,84.24 g
96,"Horseradish, prepared",100 g,48,0.7g,0.1g,0,1.18 g,420.00 mg,2.00 IU,0.00 mcg,0.00 mcg,0.073 mg,24.9 mg,0.00 IU,0.01 mg,1.3 mcg,56.00 mg,0.058 mg,0.42 mg,27.00 mg,0.126 mg,31.00 mg,246.00 mg,2.8 mcg,0.83 mg,0,11.29 g,3.3 g,7.99 g,0,0,0.69 g,0.090 g,0.130 g,0.339 g,0.00 mg,0.0 g,1.76 g,0.00 mg,85.08 g
97,"Fish, raw, butterfish",100 g,146,8g,3.4g,65mg,17.28 g,89.00 mg,100.00 IU,30.00 mcg,1.90 mcg,0.300 mg,0.0 mg,0,0,0,22.00 mg,0.054 mg,0.50 mg,25.00 mg,0.015 mg,240.00 mg,375.00 mg,36.5 mcg,0.77 mg,0.830 g,0.00 g,0.0 g,0,0,0,8.02 g,3.380 g,3.380 g,0.590 g,65.00 mg,0,1.20 g,0,74.13 g
98,"Lebanon bologna, beef",100 g,172,10g,2.8g,55mg,19.03 g,1374.00 mg,39.00 IU,12.00 mcg,2.90 mcg,0.391 mg,0.9 mg,10.00 IU,0.57 mg,0.3 mcg,20.00 mg,0.073 mg,2.15 mg,20.00 mg,0.022 mg,192.00 mg,330.00 mg,15.7 mcg,3.84 mg,0,0.44 g,0.0 g,0.00 g,0,0,10.44 g,2.794 g,4.436 g,0.258 g,55.00 mg,0.0 g,4.32 g,0.00 mg,65.77 g
99,Ham and cheese spread,100 g,245,19g,8.6g,61mg,16.18 g,1197.00 mg,304.00 IU,91.00 mcg,0.73 mcg,0.130 mg,0.0 mg,0,0,0,217.00 mg,0.090 mg,0.76 mg,18.00 mg,0.036 mg,495.00 mg,162.00 mg,33.6 mcg,2.25 mg,0.587 g,2.28 g,0.0 g,0,0,0,18.53 g,8.620 g,7.080 g,1.380 g,61.00 mg,0,3.90 g,0,59.13 g
100,"TACO BELL, Taco Salad",100 g,170,9.2g,3g,19mg,6.69 g,363.00 mg,62.00 IU,3.00 mcg,0.40 mcg,0.103 mg,0,0,0.54 mg,10.7 mcg,95.00 mg,0.151 mg,1.77 mg,27.00 mg,0.256 mg,103.00 mg,229.00 mg,7.2 mcg,1.17 mg,0.306 g,15.10 g,3.0 g,0,0.26 g,0.15 g,9.17 g,2.979 g,3.972 g,0.752 g,19.00 mg,0,1.71 g,0,67.32 g
101,"Sauce, worcestershire",100 g,78,0g,,0,0.00 g,980.00 mg,79.00 IU,5.00 mcg,0.00 mcg,0.000 mg,13.0 mg,0.00 IU,0.08 mg,1.0 mcg,107.00 mg,0.200 mg,5.30 mg,13.00 mg,0,60.00 mg,800.00 mg,0.5 mcg,0.19 mg,0,19.46 g,0.0 g,10.03 g,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,2.00 g,0.00 mg,78.54 g
102,"Candies, marshmallows",100 g,318,0.2g,0.1g,0,1.80 g,80.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.003 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,3.00 mg,0.097 mg,0.23 mg,2.00 mg,0.008 mg,8.00 mg,5.00 mg,1.7 mcg,0.04 mg,0.416 g,81.30 g,0.1 g,57.56 g,0,0,0.20 g,0.056 g,0.080 g,0.047 g,0.00 mg,0.0 g,0.30 g,0.00 mg,16.40 g
103,"Hummus, home prepared",100 g,177,8.6g,1.1g,0,4.86 g,242.00 mg,5.00 IU,0.00 mcg,0.00 mcg,0.399 mg,7.9 mg,0.00 IU,0.75 mg,3.0 mcg,49.00 mg,0.224 mg,1.56 mg,29.00 mg,0.567 mg,110.00 mg,173.00 mg,2.4 mcg,1.09 mg,0.223 g,20.12 g,4.0 g,0.27 g,0,0,8.59 g,1.141 g,4.865 g,2.109 g,0.00 mg,0.0 g,1.56 g,0.00 mg,64.87 g
104,Horned melon (Kiwano),100 g,44,1.3g,,0,1.78 g,2.00 mg,147.00 IU,7.00 mcg,0,0.063 mg,5.3 mg,0,0,0,13.00 mg,0.020 mg,1.13 mg,40.00 mg,0.039 mg,37.00 mg,123.00 mg,0,0.48 mg,0,7.56 g,0,0,0,0,1.26 g,0,0,0,0,0,0.44 g,0,88.97 g
105,Ice cream sundae cone,100 g,254,14g,2.7g,15mg,3.00 g,115.00 mg,410.00 IU,117.00 mcg,0.35 mcg,0.050 mg,0.0 mg,4.00 IU,0.11 mg,0.5 mcg,60.00 mg,0.082 mg,0.36 mg,20.00 mg,0.087 mg,128.00 mg,204.00 mg,2.3 mcg,0.56 mg,0.029 g,28.89 g,1.0 g,21.26 g,0,0,14.00 g,2.717 g,1.775 g,0.747 g,15.00 mg,0.0 g,0.80 g,0.00 mg,53.31 g
106,"Peppers, raw, serrano",100 g,32,0.4g,0.1g,0,1.74 g,10.00 mg,937.00 IU,47.00 mcg,0.00 mcg,0.505 mg,44.9 mg,0.00 IU,0.69 mg,11.8 mcg,11.00 mg,0.129 mg,0.86 mg,22.00 mg,0.187 mg,40.00 mg,305.00 mg,0.4 mcg,0.26 mg,0,6.70 g,3.7 g,3.83 g,0,0,0.44 g,0.059 g,0.023 g,0.222 g,0.00 mg,0.0 g,0.87 g,0.00 mg,90.25 g
107,"Cabbage, cooked, napa",100 g,12,0.2g,,0,1.10 g,11.00 mg,263.00 IU,13.00 mcg,0.00 mcg,0.037 mg,3.2 mg,0.00 IU,0,0,29.00 mg,0.096 mg,0.74 mg,8.00 mg,0.203 mg,19.00 mg,87.00 mg,0.4 mcg,0.14 mg,0,2.23 g,0,0,0,0,0.17 g,0,0,0,0.00 mg,0.0 g,0.17 g,0,96.33 g
108,"Peppers, dried, ancho",100 g,281,8.2g,0.8g,0,11.86 g,43.00 mg,20438.00 IU,1022.00 mcg,0.00 mcg,3.535 mg,2.0 mg,0.00 IU,0,0,61.00 mg,0.508 mg,10.93 mg,113.00 mg,1.279 mg,201.00 mg,2411.00 mg,2.9 mcg,1.42 mg,0.425 g,51.42 g,21.6 g,0,0,0,8.20 g,0.820 g,0.492 g,4.511 g,0.00 mg,0.0 g,5.89 g,0,22.63 g
109,"Parsley, freeze-dried",100 g,271,5.2g,,0,31.30 g,391.00 mg,63240.00 IU,0,0.00 mcg,1.375 mg,149.0 mg,0.00 IU,0,0,176.00 mg,0.459 mg,53.90 mg,372.00 mg,1.338 mg,548.00 mg,6300.00 mg,32.3 mcg,6.11 mg,0,42.38 g,32.7 g,0,0,0,5.20 g,0,0,0,0.00 mg,0,19.12 g,0,2.00 g
110,"Spices, black, pepper",100 g,251,3.3g,1.4g,0,10.39 g,20.00 mg,547.00 IU,27.00 mcg,0.00 mcg,0.291 mg,0.0 mg,0.00 IU,1.04 mg,163.7 mcg,443.00 mg,1.330 mg,9.71 mg,171.00 mg,12.753 mg,158.00 mg,1329.00 mg,4.9 mcg,1.19 mg,0.441 g,63.95 g,25.3 g,0.64 g,0.24 g,0.02 g,3.26 g,1.392 g,0.739 g,0.998 g,0.00 mg,0.0 g,4.49 g,0.00 mg,12.46 g
111,"Spices, white, pepper",100 g,296,2.1g,0.6g,0,10.40 g,5.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.100 mg,21.0 mg,0.00 IU,0,0,265.00 mg,0.910 mg,14.31 mg,90.00 mg,4.300 mg,176.00 mg,73.00 mg,3.1 mcg,1.13 mg,0,68.61 g,26.2 g,0,0,0,2.12 g,0.626 g,0.789 g,0.616 g,0.00 mg,0.0 g,1.59 g,0,11.42 g
112,"Yambean (jicama), raw",100 g,38,0.1g,,0,0.72 g,4.00 mg,21.00 IU,1.00 mcg,0.00 mcg,0.042 mg,20.2 mg,0.00 IU,0.46 mg,0.3 mcg,12.00 mg,0.048 mg,0.60 mg,12.00 mg,0.060 mg,18.00 mg,150.00 mg,0.7 mcg,0.16 mg,0.016 g,8.82 g,4.9 g,1.80 g,0,0,0.09 g,0.021 g,0.005 g,0.043 g,0.00 mg,0.0 g,0.30 g,0.00 mg,90.07 g
113,"Nuts, dried, pilinuts",100 g,719,80g,31g,0,10.80 g,3.00 mg,41.00 IU,2.00 mcg,0.00 mcg,0.115 mg,0.6 mg,0,0,0,145.00 mg,0.958 mg,3.53 mg,302.00 mg,2.313 mg,575.00 mg,507.00 mg,0,2.97 mg,0.650 g,3.98 g,0,0,0,0,79.55 g,31.184 g,37.229 g,7.605 g,0.00 mg,0,2.91 g,0,2.77 g
114,"Kiwifruit, raw, green",100 g,61,0.5g,,0,1.14 g,3.00 mg,87.00 IU,4.00 mcg,0.00 mcg,0.063 mg,92.7 mg,0.00 IU,1.46 mg,40.3 mcg,34.00 mg,0.130 mg,0.31 mg,17.00 mg,0.098 mg,34.00 mg,312.00 mg,0.2 mcg,0.14 mg,0.060 g,14.66 g,3.0 g,8.99 g,4.11 g,0.15 g,0.52 g,0.029 g,0.047 g,0.287 g,0.00 mg,0.0 g,0.61 g,0.00 mg,83.07 g
115,"Drumstick leaves, raw",100 g,64,1.4g,,0,9.40 g,9.00 mg,7564.00 IU,378.00 mcg,0.00 mcg,1.200 mg,51.7 mg,0.00 IU,0,0,185.00 mg,0.105 mg,4.00 mg,42.00 mg,1.063 mg,112.00 mg,337.00 mg,0.9 mcg,0.60 mg,0.517 g,8.28 g,2.0 g,0,0,0,1.40 g,0,0,0,0.00 mg,0,2.26 g,0,78.66 g
116,"Yautia (tannier), raw",100 g,98,0.4g,0.1g,0,1.46 g,21.00 mg,8.00 IU,0.00 mcg,0.00 mcg,0.237 mg,5.2 mg,0.00 IU,0,0,9.00 mg,0.257 mg,0.98 mg,24.00 mg,0.186 mg,51.00 mg,598.00 mg,0.7 mcg,0.50 mg,0,23.63 g,1.5 g,0,0,0,0.40 g,0.082 g,0,0,0.00 mg,0,1.45 g,0,73.06 g
